trial_id,loss,accuracy,f1_score,precision,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/lr,config/batch_size,config/epochs,config/freeze,config/model,config/with_mlp
06f9a_00012,0.6556555593115652,63.24786324786324,0.6666666666666666,0.6277372262773723,0.7107438016528925,91.62551426887512,True,,,10,8f3465635d914c98a575307b6a26cb8b,2023-01-11_19-19-05,1673453945,917.00554728508,4168,DESKTOP-G9R02TV,127.0.0.1,917.00554728508,0,10,0.015601158142089844,"12_batch_size=2,freeze=True,lr=0.0001,model=inception_v3,with_mlp=False",5e-05,2,10,True,inception_v3,False
06f9a_00013,0.6565225063226162,64.95726495726495,0.6272727272727273,0.696969696969697,0.5702479338842975,68.00386548042297,True,,,10,0e3583cd517846ce813635950b3ebc42,2023-01-11_19-30-30,1673454630,679.9460425376892,3492,DESKTOP-G9R02TV,127.0.0.1,679.9460425376892,0,10,0.0,"13_batch_size=4,freeze=True,lr=0.0001,model=inception_v3,with_mlp=False",5e-05,4,10,True,inception_v3,False
06f9a_00014,0.6541768913595085,64.95726495726495,0.6611570247933884,0.6611570247933884,0.6611570247933884,58.67607355117798,True,,,10,ee6359c6c80c4751ba56aa2276b07fb7,2023-01-11_19-40-21,1673455221,586.0777399539948,7588,DESKTOP-G9R02TV,127.0.0.1,586.0777399539948,0,10,0.0,"14_batch_size=8,freeze=True,lr=0.0001,model=inception_v3,with_mlp=False",5e-05,8,10,True,inception_v3,False
06f9a_00015,1.088253901554988,58.97435897435898,0.5247524752475248,0.654320987654321,0.4380165289256198,124.14500784873962,True,,,10,a04b235266b043bb958d6034daf4ee3c,2023-01-11_20-01-13,1673456473,1247.960202217102,15444,DESKTOP-G9R02TV,127.0.0.1,1247.960202217102,0,10,0.0,"15_batch_size=2,freeze=False,lr=0.0001,model=inception_v3,with_mlp=False",5e-05,2,10,False,inception_v3,False
06f9a_00016,0.9083810137887286,63.67521367521367,0.6502057613168725,0.6475409836065574,0.6528925619834711,89.05470943450928,True,,,10,b4d34f29bd6340bfbb60f7b9c504b65b,2023-01-11_20-16-07,1673457367,889.389219045639,23116,DESKTOP-G9R02TV,127.0.0.1,889.389219045639,0,10,0.0,"16_batch_size=4,freeze=False,lr=0.0001,model=inception_v3,with_mlp=False",5e-05,4,10,False,inception_v3,False
06f9a_00017,1.2738785702958066,59.401709401709404,0.558139534883721,0.6382978723404256,0.49586776859504134,68.05856728553772,True,,,10,3a61bd8d969643629bb0fb80c1f0a6f0,2023-01-11_20-27-43,1673458063,691.5210359096527,14576,DESKTOP-G9R02TV,127.0.0.1,691.5210359096527,0,10,0.0,"17_batch_size=8,freeze=False,lr=0.0001,model=inception_v3,with_mlp=False",5e-05,8,10,False,inception_v3,False
06f9a_00018,0.6866797422751402,55.55555555555556,0.6666666666666667,0.5445026178010471,0.859504132231405,91.6233856678009,True,,,10,4e30a7ee0990422883b9eb681e19a8c6,2023-01-11_20-43-03,1673458983,915.7281904220581,19200,DESKTOP-G9R02TV,127.0.0.1,915.7281904220581,0,10,0.015588521957397461,"18_batch_size=2,freeze=True,lr=0.0000,model=inception_v3,with_mlp=False",1e-05,2,10,True,inception_v3,False
06f9a_00019,0.6933816110985911,52.13675213675214,0.6190476190476191,0.5260115606936416,0.7520661157024794,69.6756796836853,True,,,10,d323e8d249e3464ab2d2a5f4586c8852,2023-01-11_20-54-30,1673459670,683.1606223583221,22476,DESKTOP-G9R02TV,127.0.0.1,683.1606223583221,0,10,0.0,"19_batch_size=4,freeze=True,lr=0.0000,model=inception_v3,with_mlp=False",1e-05,4,10,True,inception_v3,False
06f9a_00020,0.6881646702432225,55.98290598290598,0.6622950819672131,0.5489130434782609,0.8347107438016529,58.530510902404785,True,,,10,53934748f1aa474bafc360920e3fdfc4,2023-01-11_21-04-22,1673460262,587.2701063156128,14696,DESKTOP-G9R02TV,127.0.0.1,587.2701063156128,0,10,0.0,"20_batch_size=8,freeze=True,lr=0.0000,model=inception_v3,with_mlp=False",1e-05,8,10,True,inception_v3,False
06f9a_00021,0.7423797346587874,58.54700854700855,0.5975103734439834,0.6,0.5950413223140496,122.77237868309021,True,,,10,e517616c0757478ebc5549c65f7e8767,2023-01-11_21-25-11,1673461511,1244.506549835205,14720,DESKTOP-G9R02TV,127.0.0.1,1244.506549835205,0,10,0.0,"21_batch_size=2,freeze=False,lr=0.0000,model=inception_v3,with_mlp=False",1e-05,2,10,False,inception_v3,False
06f9a_00022,0.9849022107246594,53.41880341880342,0.4630541871921182,0.573170731707317,0.3884297520661157,87.20657563209534,True,,,10,2072150377a54cea98c8e711c55bde5f,2023-01-11_21-39-53,1673462393,877.6830739974976,4000,DESKTOP-G9R02TV,127.0.0.1,877.6830739974976,0,10,0.015594244003295898,"22_batch_size=4,freeze=False,lr=0.0000,model=inception_v3,with_mlp=False",1e-05,4,10,False,inception_v3,False
06f9a_00023,0.8892079540806958,56.837606837606835,0.4766839378238341,0.6388888888888888,0.38016528925619836,67.79308700561523,True,,,10,4f8718e9fc8949b4802780c0028672e7,2023-01-11_21-51-26,1673463086,688.0464015007019,9240,DESKTOP-G9R02TV,127.0.0.1,688.0464015007019,0,10,0.0,"23_batch_size=8,freeze=False,lr=0.0000,model=inception_v3,with_mlp=False",1e-05,8,10,False,inception_v3,False
