trial_id,loss,accuracy,f1_score,precision,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/batch_size,config/alr,config/epochs,config/freeze,config/model,config/with_mlp
af9dc_00011,0.6145321446606237,68.37606837606837,0.6636363636363636,0.7373737373737373,0.6033057851239669,63.67094945907593,True,,,10,e5c5da9b773544188e11088e9cd4c5fc,2023-01-22_16-12-45,1674393165,642.6111989021301,22416,DESKTOP-G9R02TV,127.0.0.1,642.6111989021301,0,10,0.004024505615234375,"11_alr=0.0000,batch_size=8,freeze=False,model=mobilenet_v2,with_mlp=False",8,1e-05,10,False,mobilenet_v2,False
af9dc_00012,0.6139062082665598,65.8119658119658,0.6610169491525423,0.6782608695652174,0.6446280991735537,77.88480424880981,True,,,10,3046767d239a49369901b16a0ec796c6,2023-01-22_16-25-50,1674393950,780.8166525363922,17276,DESKTOP-G9R02TV,127.0.0.1,780.8166525363922,0,10,0.003789186477661133,"12_alr=0.0005,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,0.0005,10,True,mobilenet_v2,False
af9dc_00013,0.6544390295305823,64.95726495726495,0.5980392156862745,0.7349397590361446,0.5041322314049587,78.17722725868225,True,,,10,43a8de4528af4c6bb83345e3e74793f5,2023-01-22_16-38-56,1674394736,781.6091554164886,8308,DESKTOP-G9R02TV,127.0.0.1,781.6091554164886,0,10,0.0036230087280273438,"13_alr=0.0001,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,0.0001,10,True,mobilenet_v2,False
af9dc_00014,0.6615309756026309,65.38461538461539,0.6920152091254753,0.6408450704225352,0.7520661157024794,77.83320999145508,True,,,10,9c21454ac6cd46479aa4eda2b49be151,2023-01-22_16-51-56,1674395516,776.1769030094147,18036,DESKTOP-G9R02TV,127.0.0.1,776.1769030094147,0,10,0.0028214454650878906,"14_alr=0.0001,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,5e-05,10,True,mobilenet_v2,False
af9dc_00015,0.6826949160323184,60.256410256410255,0.6847457627118645,0.5804597701149425,0.8347107438016529,78.11527681350708,True,,,10,036ac5fc8e7a446b9caf0f201272c6c7,2023-01-22_17-05-01,1674396301,780.6844220161438,8392,DESKTOP-G9R02TV,127.0.0.1,780.6844220161438,0,10,0.0033419132232666016,"15_alr=0.0000,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,1e-05,10,True,mobilenet_v2,False
af9dc_00016,0.623433104947082,65.8119658119658,0.6666666666666667,0.6722689075630253,0.6611570247933884,65.1255567073822,True,,,10,d854f8064b5c42389b29172f7068e6c7,2023-01-22_17-15-58,1674396958,651.8829588890076,16076,DESKTOP-G9R02TV,127.0.0.1,651.8829588890076,0,10,0.0033872127532958984,"16_alr=0.0005,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,0.0005,10,True,mobilenet_v2,False
af9dc_00017,0.6476504334017762,64.52991452991454,0.6244343891402714,0.69,0.5702479338842975,66.04267311096191,True,,,10,ee3af0b660dd446599bb80e3ec8a3675,2023-01-22_17-26-53,1674397613,652.103105545044,2268,DESKTOP-G9R02TV,127.0.0.1,652.103105545044,0,10,0.003315448760986328,"17_alr=0.0001,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,0.0001,10,True,mobilenet_v2,False
af9dc_00018,0.6668753338675214,61.111111111111114,0.6459143968871596,0.6102941176470589,0.6859504132231405,63.936875104904175,True,,,10,421804e461d546fe80d9f0f759f55b84,2023-01-22_17-37-43,1674398263,645.4263737201691,17984,DESKTOP-G9R02TV,127.0.0.1,645.4263737201691,0,10,0.004020214080810547,"18_alr=0.0001,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,5e-05,10,True,mobilenet_v2,False
af9dc_00019,0.6846733419304221,61.111111111111114,0.6403162055335969,0.6136363636363636,0.6694214876033058,64.9317512512207,True,,,10,00fe0477164b498d8a8ae581771a1b48,2023-01-22_17-48-35,1674398915,647.6031188964844,3120,DESKTOP-G9R02TV,127.0.0.1,647.6031188964844,0,10,0.00399017333984375,"19_alr=0.0000,batch_size=4,freeze=True,model=mobilenet_v2,with_mlp=False",4,1e-05,10,True,mobilenet_v2,False
af9dc_00020,0.6252899822006878,66.23931623931624,0.658008658008658,0.6909090909090909,0.628099173553719,57.567646741867065,True,,,10,51c9c708c32b4ae882a4f84297345351,2023-01-22_17-58-21,1674399501,580.9066183567047,12120,DESKTOP-G9R02TV,127.0.0.1,580.9066183567047,0,10,0.003391265869140625,"20_alr=0.0005,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,0.0005,10,True,mobilenet_v2,False
af9dc_00021,0.6562044192583133,66.23931623931624,0.6220095693779905,0.7386363636363636,0.5371900826446281,57.96129274368286,True,,,10,a8ca6f192e1e429894c8140ffe45eb66,2023-01-22_18-08-06,1674400086,579.9647068977356,5624,DESKTOP-G9R02TV,127.0.0.1,579.9647068977356,0,10,0.003858804702758789,"21_alr=0.0001,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,0.0001,10,True,mobilenet_v2,False
af9dc_00022,0.6690584492479634,63.67521367521367,0.6443514644351465,0.652542372881356,0.6363636363636364,57.996464252471924,True,,,10,1c9767860c5349248ef8d156f1696dcc,2023-01-22_18-17-50,1674400670,579.8606746196747,1664,DESKTOP-G9R02TV,127.0.0.1,579.8606746196747,0,10,0.0036916732788085938,"22_alr=0.0001,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,5e-05,10,True,mobilenet_v2,False
af9dc_00023,0.6880405784672142,56.837606837606835,0.6576271186440679,0.5574712643678161,0.8016528925619835,58.214247703552246,True,,,10,f8015fd77f014a5cb1103891c4cfe1c1,2023-01-22_18-27-36,1674401256,581.6980860233307,13712,DESKTOP-G9R02TV,127.0.0.1,581.6980860233307,0,10,0.003821134567260742,"23_alr=0.0000,batch_size=8,freeze=True,model=mobilenet_v2,with_mlp=False",8,1e-05,10,True,mobilenet_v2,False
