trial_id,loss,accuracy,f1_score,precision,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/batch_size,config/alr,config/epochs,config/freeze,config/model,config/with_mlp
32d64_00011,0.67803955078125,52.13675213675214,0.672514619883041,0.5203619909502263,0.9504132231404959,84.11270380020142,True,,,10,14ef5a3ddc4a42f2950610ae084bae70,2023-01-17_19-48-05,1673974085,835.0850350856781,27640,DESKTOP-G9R02TV,127.0.0.1,835.0850350856781,0,10,0.0,"11_alr=0.0000,batch_size=4,freeze=False,model=mobilenet_v2,with_mlp=False",4,1e-06,10,False,mobilenet_v2,False
32d64_00012,1.1211769560463407,62.82051282051282,0.6477732793522267,0.6349206349206349,0.6611570247933884,72.86968159675598,True,,,10,7afdaf9bd7954f50a6507fe23f5c9817,2023-01-17_20-00-21,1673974821,731.2365412712097,34652,DESKTOP-G9R02TV,127.0.0.1,731.2365412712097,0,10,0.0,"12_alr=0.0005,batch_size=8,freeze=False,model=mobilenet_v2,with_mlp=False",8,0.0005,10,False,mobilenet_v2,False
32d64_00013,1.1161355564736912,66.23931623931624,0.6488888888888888,0.7019230769230769,0.6033057851239669,73.04992842674255,True,,,10,d2399fe7ea534d4c9ce57ce867864161,2023-01-17_20-12-37,1673975557,732.0539455413818,20740,DESKTOP-G9R02TV,127.0.0.1,732.0539455413818,0,10,0.015592098236083984,"13_alr=0.0001,batch_size=8,freeze=False,model=mobilenet_v2,with_mlp=False",8,0.0001,10,False,mobilenet_v2,False
32d64_00014,0.8548664190830328,67.94871794871796,0.6724890829694323,0.7129629629629629,0.6363636363636364,72.25598454475403,True,,,10,926df95c81dc4ad9b9d9bec23c19194b,2023-01-17_20-24-50,1673976290,728.5806093215942,34472,DESKTOP-G9R02TV,127.0.0.1,728.5806093215942,0,10,0.0,"14_alr=0.0001,batch_size=8,freeze=False,model=mobilenet_v2,with_mlp=False",8,5e-05,10,False,mobilenet_v2,False
32d64_00015,0.6115235548753005,70.08547008547008,0.6788990825688074,0.7628865979381443,0.6115702479338843,72.68724393844604,True,,,10,b0d4e82e25ca4479a679b00a8fdb0c77,2023-01-17_20-37-05,1673977025,729.9578909873962,31596,DESKTOP-G9R02TV,127.0.0.1,729.9578909873962,0,10,0.0,"15_alr=0.0000,batch_size=8,freeze=False,model=mobilenet_v2,with_mlp=False",8,1e-05,10,False,mobilenet_v2,False
32d64_00016,0.6167972271259015,69.65811965811966,0.6926406926406927,0.7272727272727273,0.6611570247933884,73.2243959903717,True,,,10,baf39ddd6cc14425bff267724e7279d3,2023-01-17_20-49-23,1673977763,733.6532311439514,7060,DESKTOP-G9R02TV,127.0.0.1,733.6532311439514,0,10,0.0,"16_alr=0.0000,batch_size=8,freeze=False,model=mobilenet_v2,with_mlp=False",8,5e-06,10,False,mobilenet_v2,False
32d64_00017,0.6806150257077992,52.13675213675214,0.6646706586826348,0.5211267605633803,0.9173553719008265,73.16913056373596,True,,,10,ed4c9508600742ef815f629dfd85911d,2023-01-17_21-01-42,1673978502,733.8113367557526,34312,DESKTOP-G9R02TV,127.0.0.1,733.8113367557526,0,10,0.0,"17_alr=0.0000,batch_size=8,freeze=False,model=mobilenet_v2,with_mlp=False",8,1e-06,10,False,mobilenet_v2,False
32d64_00018,0.6229825794187367,69.65811965811966,0.6757990867579908,0.7551020408163265,0.6115702479338843,90.53745245933533,True,,,10,1cfd3e6fe7ab47c1bc0f1b2ba36f6628,2023-01-17_21-16-38,1673979398,891.8278005123138,29488,DESKTOP-G9R02TV,127.0.0.1,891.8278005123138,0,10,0.015594244003295898,"18_alr=0.0005,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,0.0005,10,True,mobilenet_v2,False
32d64_00019,0.6437459440312834,64.95726495726495,0.6917293233082706,0.6344827586206897,0.7603305785123967,89.40663599967957,True,,,10,bba7817331a74bd39ac42220efab70cb,2023-01-17_21-31-32,1673980292,888.8204019069672,29120,DESKTOP-G9R02TV,127.0.0.1,888.8204019069672,0,10,0.015621662139892578,"19_alr=0.0001,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,0.0001,10,True,mobilenet_v2,False
32d64_00020,0.6655956822582799,64.52991452991454,0.6584362139917695,0.6557377049180327,0.6611570247933884,90.26883745193481,True,,,10,6fd4d055e76a4370b7ba90c660db596a,2023-01-17_21-46-26,1673981186,889.0401895046234,35156,DESKTOP-G9R02TV,127.0.0.1,889.0401895046234,0,10,0.0,"20_alr=0.0001,batch_size=2,freeze=True,model=mobilenet_v2,with_mlp=False",2,5e-05,10,True,mobilenet_v2,False
